name,url,score,ratings,Brewery,ABV,IBU
Choklat (Blackwater Series),/beer/profile/3818/40058/,4.26,"5,313",Southern Tier Brewing Company,10.00,No IBU
Prima Pils,/beer/profile/345/1010/,4.02,"5,308",Victory Brewing Company - Downingtown,5.30,44
Old Chub - Scottish Style Ale,/beer/profile/2681/14712/,4.01,"5,305",Oskar Blues Grill & Brew,8.00,No IBU
Tank 7 Farmhouse Ale,/beer/profile/423/50570/,4.17,"5,285",Boulevard Brewing Co.,8.50,38
Red's Rye IPA,/beer/profile/1199/16074/,4.18,"5,258",Founders Brewing Company,6.60,70
OAKED Arrogant Bastard Ale,/beer/profile/43153/8951/,4.2,"5,249",Arrogant Brewing,7.20,No IBU
Coors Light,/beer/profile/306/837/,2.03,"5,233",Coors Brewing Company (Molson-Coors),4.20,No IBU
Sip Of Sunshine IPA,/beer/profile/17980/117177/,4.58,"5,209",Lawson's Finest Liquids,8.00,No IBU
Péché Mortel,/beer/profile/1141/10325/,4.41,"5,207",Brasserie Dieu du Ciel!,9.50,No IBU
Newcastle Brown Ale,/beer/profile/81/639/,3.32,"5,200",Heineken Nederland B.V.,4.70,No IBU
Narwhal Imperial Stout,/beer/profile/140/86149/,4.16,"5,193",Sierra Nevada Brewing Co.,10.20,No IBU
Fresh Squeezed IPA,/beer/profile/63/60330/,4.26,"5,182",Deschutes Brewery,6.40,60
§ucaba,/beer/profile/2210/41121/,4.52,"5,114",Firestone Walker Brewing Co.,12.50,No IBU
Sierra Nevada Ruthless Rye IPA,/beer/profile/140/76816/,3.89,"5,108",Sierra Nevada Brewing Co.,6.60,No IBU
Corona Extra,/beer/profile/75/232/,2.34,"5,094",Grupo Modelo S.A. de C.V.,4.60,No IBU
Heineken Lager Beer,/beer/profile/81/246/,2.72,"5,063",Heineken Nederland B.V.,5.00,No IBU
Trois Pistoles,/beer/profile/22/30/,4.23,"5,017",Unibroue,9.00,No IBU
ApriHop,/beer/profile/64/3951/,3.84,"4,995",Dogfish Head Craft Brewery,7.00,50
Chimay Première (Red),/beer/profile/215/672/,4.15,"4,952",Bières de Chimay,7.00,No IBU
World Wide Stout,/beer/profile/64/2392/,4.22,"4,940",Dogfish Head Craft Brewery,18.00,70
Midas Touch,/beer/profile/64/1587/,3.73,"4,896",Dogfish Head Craft Brewery,9.00,12
Resin,/beer/profile/10607/77299/,4.12,"4,846",Sixpoint Brewery,9.10,100
Matilda,/beer/profile/1146/4318/,4.03,"4,808",Goose Island Beer Co.,7.00,No IBU
Curmudgeon,/beer/profile/1199/24905/,4.03,"4,799",Founders Brewing Company,9.80,50
Hop Rod Rye,/beer/profile/610/3158/,4.22,"4,726",Bear Republic Brewing Co.,8.00,No IBU
Black Note Stout,/beer/profile/287/37265/,4.54,"4,701",Bell's Brewery - Eccentric Café & General Store,11.20,No IBU
Maudite,/beer/profile/22/33/,4.2,"4,651",Unibroue,8.00,No IBU
PseudoSue,/beer/profile/23222/72170/,4.52,"4,642",Toppling Goliath Brewing Company,6.20,50
Miller Lite,/beer/profile/105/332/,2.19,"4,641",Miller Brewing Co.,4.17,No IBU
Abbey Ale,/beer/profile/42/142/,4.16,"4,638",Brewery Ommegang,8.20,No IBU
Abrasive Ale,/beer/profile/13014/46849/,4.5,"4,625",Surly Brewing Company,9.00,No IBU
Wookey Jack,/beer/profile/2210/79286/,4.25,"4,623",Firestone Walker Brewing Co.,8.30,No IBU
Crème Brûlée Imperial Milk Stout (Blackwater Series),/beer/profile/3818/43687/,3.91,"4,620",Southern Tier Brewing Company,10.00,No IBU
2XIPA,/beer/profile/3818/57908/,4.02,"4,619",Southern Tier Brewing Company,8.20,No IBU
Westmalle Trappist Tripel,/beer/profile/208/646/,4.3,"4,614",Brouwerij Westmalle,9.50,No IBU
312 Urban Wheat,/beer/profile/1146/17141/,3.39,"4,613",Goose Island Beer Co.,4.20,18
Oak Aged Yeti Imperial Stout,/beer/profile/158/19216/,4.26,"4,612",Great Divide Brewing Company,9.50,No IBU
Franziskaner Hefe-Weisse,/beer/profile/142/1946/,4.06,"4,584",Spaten-Franziskaner-Bräu,5.00,No IBU
Harvest Ale,/beer/profile/1199/20478/,4.25,"4,568",Founders Brewing Company,7.60,70
Schneider Weisse Tap 6 Unser Aventinus,/beer/profile/72/224/,4.33,"4,568",Weisses Bräuhaus G. Schneider & Sohn GmbH,8.20,No IBU
Sofie,/beer/profile/1146/48824/,4.09,"4,565",Goose Island Beer Co.,6.50,No IBU
Cappuccino Stout,/beer/profile/220/20445/,3.94,"4,509",Lagunitas Brewing Company,9.20,No IBU
Chimay Tripel (White),/beer/profile/215/1346/,4.13,"4,464",Bières de Chimay,8.00,No IBU
Undercover Investigation Shut-down Ale,/beer/profile/220/48385/,4.07,"4,426",Lagunitas Brewing Company,9.60,6
