whiskey,url,age,bottler,price,average_rating,personal_rating
Crown Royal Northern Harvest Rye,http://www.lawhiskeysociety.com/whiskey-profile/3710/Crown-Royal-Northern-Harvest-Rye,N/A,Crown Royal,$32 ,C+,C+
Darkness! Aberlour 20 Year Old Pedro Ximenez Cask Finish,http://www.lawhiskeysociety.com/whiskey-profile/3366/Darkness!-Aberlour-20-Year-Old-Pedro-Ximenez-Cask-Finish,20 yrs,N/A,$92 ,B+,B
Drayman's Solera,http://www.lawhiskeysociety.com/whiskey-profile/3858/Draymans-Solera,N/A,OB,$22 ,C-,C-
Edradour 2000 Sauternes Binny's Handpicked,http://www.lawhiskeysociety.com/whiskey-profile/3732/Edradour-2000-Sauternes-Binnys-Handpicked,13 yrs,OB,$90 ,B,B+
Edradour Ballechin 10 Heavily Peated,http://www.lawhiskeysociety.com/whiskey-profile/3483/Edradour-Ballechin-10-Heavily-Peated,10 yrs,OB,$70 ,B-,B-
Edradour Barolo Cask,http://www.lawhiskeysociety.com/whiskey-profile/3439/Edradour-Barolo-Cask,8 yrs,OB,$80 ,B,B
Edradour Caledonia 12,http://www.lawhiskeysociety.com/whiskey-profile/3438/Edradour-Caledonia-12,12 yrs,OB,$80 ,B-,B-
Faultline Blended Scotch,http://www.lawhiskeysociety.com/whiskey-profile/3408/Faultline-Blended-Scotch,N/A,Douglas Laing,$25 ,B-,B-
Few Single Malt Whisky 14-9,http://www.lawhiskeysociety.com/whiskey-profile/3921/Few-Single-Malt-Whisky-14-9,N/A,OB,$70 ,D+,D+
Flaming Heart Limited Edition,http://www.lawhiskeysociety.com/whiskey-profile/3748/Flaming-Heart-Limited-Edition,N/A,Compass Box,$130 ,B+,A-
Girvan 1990 Sovereign,http://www.lawhiskeysociety.com/whiskey-profile/3404/Girvan-1990-Sovereign,24 yrs,Hunter Laing,$100 ,C+,B-
Glen Garioch 1998 for K&L,http://www.lawhiskeysociety.com/whiskey-profile/3177/Glen-Garioch-1998-for-K-and-L,14 yrs,OB,$110 ,B-,B-
Glen Keith 1995 Signatory Unchillfiltered,http://www.lawhiskeysociety.com/whiskey-profile/3878/Glen-Keith-1995-Signatory-Unchillfiltered,19 yrs,Signatory,$32 ,B,B
Glen Ord 1998 Signatory Vintage,http://www.lawhiskeysociety.com/whiskey-profile/3175/Glen-Ord-1998-Signatory-Vintage,8 yrs,Signatory,$65 ,B-,C+
Glen Scotia 21 MacPhail's,http://www.lawhiskeysociety.com/whiskey-profile/3487/Glen-Scotia-21-MacPhails,21 yrs,Gordon MacPhail,$100 ,C,C+
Glen Scotia 93.61 SMWSA,http://www.lawhiskeysociety.com/whiskey-profile/3611/Glen-Scotia-9361-SMWSA,14 yrs,SMWSA,$110 ,B,B
Glen Scotia Double Cask,http://www.lawhiskeysociety.com/whiskey-profile/3825/Glen-Scotia-Double-Cask,N/A,OB,$50 ,B,B
Glen Scotia Victoriana,http://www.lawhiskeysociety.com/whiskey-profile/3679/Glen-Scotia-Victoriana,N/A,OB,$90 ,C+,B
Glencadam 14 Oloroso Finish,http://www.lawhiskeysociety.com/whiskey-profile/3927/Glencadam-14-Oloroso-Finish,14 yrs,OB,$50 ,C+,C+
Glencadam 15,http://www.lawhiskeysociety.com/whiskey-profile/3296/Glencadam-15,15 yrs,OB,$65 ,C+,B
Glencadam 21,http://www.lawhiskeysociety.com/whiskey-profile/4041/Glencadam-21,21 yrs,OB,$180 ,C+,C+
Glendronach 1995 19yr Pedro Ximenez,http://www.lawhiskeysociety.com/whiskey-profile/3319/Glendronach-1995-19yr-Pedro-Ximenez,19 yrs,OB,$150 ,B-,B+
